dummy, algorithm, localsearch, alpha, beta, rho, ants, nnls, q0, dlb, rasrank, elitistants, instance
1, acs, 3, 3.57, 3.87, 0.76, 69, 28, 0.01, 1, 200, 1500, 4
3, acs, 3, 2.63, 6.93, 0.73, 29, 5, 0.29, 1, 200, 1500, 4
4, acs, 3, 2.77, 5.26, 0.88, 16, 17, 0.39, 1, 200, 1500, 4
2, acs, 3, 1.04, 6.97, 0.82, 12, 18, 0.26, 1, 200, 1500, 4
1, acs, 3, 2.89, 2.84, 0.92, 52, 32, 0.1, 1, 200, 1500, 4
10, acs, 3, 2.95, 3.86, 0.79, 35, 14, 0.13, 1, 200, 1500, 4
1, acs, 3, 2.62, 3.93, 0.97, 9, 13, 0.34, 1, 200, 1500, 4
4, acs, 3, 3.69, 4.78, 0.99, 48, 12, 0.21, 1, 200, 1500, 4
8, acs, 3, 1.72, 4.82, 0.95, 13, 5, 0.2, 1, 200, 1500, 4
3, acs, 3, 3.65, 4.27, 0.71, 5, 9, 0.42, 0, 200, 1500, 4
8, acs, 3, 2.97, 6.48, 0.94, 30, 18, 0.08, 1, 200, 1500, 4
8, acs, 3, 3.7, 7.44, 0.79, 9, 22, 0.08, 1, 200, 1500, 4
1, acs, 0, 2.84, 7.17, 0.88, 12, 100, 0.19, __miss__, 200, 1500, 4
10, ras, 3, 1.84, 3.24, 0.93, 10, 9, 2, 1, 93, 1500, 4
7, acs, 2, 2.08, 4.68, 0.69, 30, 7, 0.36, 1, 200, 1500, 4
7, acs, 3, 1.32, 3.89, 0.93, 17, 9, 0.59, 1, 200, 1500, 4
7, acs, 3, 2.8, 2.85, 0.91, 75, 19, 0.01, 1, 200, 1500, 4
3, acs, 3, 2.64, 4.58, 0.96, 30, 27, 0.41, 1, 200, 1500, 4
3, acs, 3, 1.99, 9.14, 0.97, 18, 15, 0.13, 0, 200, 1500, 4
9, as, 3, 2.43, 5.7, 0.91, 36, 10, 2, 1, 200, 1500, 4
6, acs, 3, 1.01, 5.65, 0.94, 26, 17, 0.06, 1, 200, 1500, 4
3, acs, 3, 3.49, 5.97, 0.93, 10, 6, 0.16, 1, 200, 1500, 4
6, as, 3, 1.87, 6.75, 0.98, 20, 15, 2, 1, 200, 1500, 4
4, acs, 3, 1.04, 4.22, 0.94, 9, 7, 0.34, 1, 200, 1500, 4
3, acs, 3, 2.24, 2.45, 0.85, 21, 16, 0.19, 1, 200, 1500, 4
8, acs, 2, 2.82, 7.87, 0.77, 6, 10, 0.04, 1, 200, 1500, 4
1, acs, 3, 3.71, 3.55, 0.91, 25, 22, 0.11, 1, 200, 1500, 4
10, acs, 3, 1.93, 5.03, 0.97, 36, 15, 0.01, 1, 200, 1500, 4
7, acs, 3, 3.02, 6.65, 0.88, 11, 17, 0.01, 1, 200, 1500, 4
5, acs, 3, 3.73, 4.6, 0.93, 21, 19, 0, 0, 200, 1500, 4
9, acs, 3, 2.27, 0.34, 0.74, 19, 15, 0.29, 1, 200, 1500, 4
10, acs, 3, 2.26, 3.18, 0.66, 13, 11, 0.19, 1, 200, 1500, 4
9, ras, 3, 3.93, 5.37, 0.98, 13, 15, 2, 1, 34, 1500, 4
10, acs, 3, 3.43, 3.16, 0.84, 36, 9, 0.37, 1, 200, 1500, 4
3, acs, 3, 4.36, 4.68, 0.78, 30, 9, 0.04, 1, 200, 1500, 4
2, acs, 3, 3.14, 6.12, 0.9, 26, 12, 0.46, 1, 200, 1500, 4
4, mmas, 3, 2.97, 3.69, 0.84, 38, 18, 2, 1, 200, 1500, 4
9, ras, 3, 3.11, 4.19, 1, 21, 6, 2, 1, 52, 1500, 4
10, as, 3, 2.83, 4.92, 0.95, 28, 14, 2, 1, 200, 1500, 4
2, acs, 3, 2.19, 5.39, 0.61, 34, 6, 0.29, 0, 200, 1500, 4
8, as, 3, 4.24, 5.94, 0.68, 7, 24, 2, 1, 200, 1500, 4
7, mmas, 3, 0.78, 3.79, 0.76, 22, 11, 2, 1, 200, 1500, 4
7, mmas, 3, 1.2, 3.04, 0.95, 24, 6, 2, 1, 200, 1500, 4
10, acs, 1, 3.81, 5.7, 0.57, 25, 20, 0.04, 1, 200, 1500, 4
4, acs, 3, 3.89, 4.89, 0.85, 27, 19, 0.55, 1, 200, 1500, 4
3, ras, 3, 3.06, 6.35, 0.91, 29, 17, 2, 1, 42, 1500, 4
9, acs, 3, 1.99, 4.29, 0.7, 17, 24, 0.01, 1, 200, 1500, 4
6, acs, 3, 3.54, 4.43, 0.85, 17, 5, 0.45, 1, 200, 1500, 4
4, acs, 3, 2.58, 7.6, 0.98, 24, 11, 0.23, 1, 200, 1500, 4
6, acs, 3, 1.33, 4.11, 0.95, 37, 11, 0.11, 1, 200, 1500, 4
6, acs, 3, 3.23, 3.73, 0.85, 28, 10, 0.18, 1, 200, 1500, 4
7, acs, 3, 1.14, 4.93, 0.72, 33, 5, 0.37, 1, 200, 1500, 4
8, acs, 3, 3.11, 5.81, 0.89, 8, 7, 0.44, 1, 200, 1500, 4
5, acs, 3, 3.08, 6.17, 0.97, 37, 5, 0.06, 1, 200, 1500, 4
2, acs, 3, 2.65, 4.5, 0.96, 69, 9, 0.16, 1, 200, 1500, 4
1, acs, 3, 2.68, 6.28, 0.85, 23, 7, 0.25, 1, 200, 1500, 4
2, mmas, 3, 1.88, 2.44, 0.99, 29, 11, 2, 1, 200, 1500, 4
4, acs, 3, 4.01, 5.53, 0.86, 10, 19, 0.27, 1, 200, 1500, 4
6, acs, 3, 3.02, 4.46, 0.97, 28, 9, 0.24, 1, 200, 1500, 4
3, acs, 3, 1.73, 4.75, 0.94, 40, 7, 0.05, 1, 200, 1500, 4
1, mmas, 3, 1.58, 4.94, 1, 15, 7, 2, 0, 200, 1500, 4
1, acs, 3, 1.47, 4.1, 0.8, 20, 15, 0.21, 1, 200, 1500, 4
9, acs, 3, 2.46, 3.22, 0.94, 15, 12, 0.37, 1, 200, 1500, 4
6, acs, 3, 1.05, 1.94, 0.97, 38, 8, 0.29, 1, 200, 1500, 4
7, ras, 3, 2.08, 3.98, 0.8, 27, 17, 2, 1, 28, 1500, 4
6, acs, 0, 4.28, 6.7, 0.77, 9, 100, 0.25, __miss__, 200, 1500, 4
8, acs, 3, 2.64, 2.23, 0.78, 14, 5, 0.36, 1, 200, 1500, 4
8, acs, 3, 3.36, 4.98, 0.9, 17, 16, 0.12, 1, 200, 1500, 4
3, ras, 3, 2.12, 5.83, 0.75, 14, 5, 2, 1, 82, 1500, 4
7, acs, 3, 3.21, 5, 0.92, 9, 25, 0.12, 1, 200, 1500, 4
5, acs, 3, 3.92, 4.82, 0.93, 12, 32, 0.37, 1, 200, 1500, 4
2, eas, 3, 1.68, 4.68, 0.74, 33, 11, 2, 1, 200, 711, 4
2, acs, 3, 0.7, 4.89, 0.93, 14, 8, 0.12, 1, 200, 1500, 4
2, acs, 3, 1.57, 4.35, 0.59, 15, 16, 0.1, 1, 200, 1500, 4
2, acs, 3, 2.44, 4.39, 0.63, 9, 21, 0.18, 1, 200, 1500, 4
4, acs, 3, 3.05, 7.3, 0.86, 21, 13, 0.16, 1, 200, 1500, 4
2, acs, 3, 2.31, 2.74, 0.77, 8, 10, 0.24, 1, 200, 1500, 4
2, acs, 3, 2.87, 3.65, 0.84, 6, 11, 0.3, 1, 200, 1500, 4
4, acs, 3, 3.02, 6.53, 0.95, 6, 13, 0.24, 1, 200, 1500, 4
5, acs, 3, 2.82, 5.44, 0.98, 14, 13, 0.34, 1, 200, 1500, 4
2, acs, 3, 2.19, 5.09, 0.65, 10, 10, 0.17, 1, 200, 1500, 4
2, acs, 3, 1.65, 3.3, 0.87, 17, 7, 0.35, 1, 200, 1500, 4
5, acs, 3, 1.96, 3.59, 0.93, 9, 12, 0.38, 1, 200, 1500, 4
1, acs, 3, 2.41, 3.06, 0.84, 10, 13, 0.28, 1, 200, 1500, 4
2, acs, 3, 2.8, 4.07, 0.96, 13, 9, 0.17, 1, 200, 1500, 4
8, acs, 3, 2.42, 3.1, 0.9, 33, 14, 0.52, 1, 200, 1500, 4
2, acs, 3, 2.37, 1.25, 0.96, 5, 29, 0.38, 1, 200, 1500, 4
5, acs, 1, 2.16, 4.13, 0.67, 12, 16, 0.21, 1, 200, 1500, 4
1, acs, 3, 2.96, 3.72, 0.99, 27, 12, 0.44, 1, 200, 1500, 4
6, acs, 3, 2.43, 8.33, 0.84, 12, 10, 0.15, 1, 200, 1500, 4
4, acs, 3, 2.5, 2.34, 0.99, 22, 8, 0.5, 1, 200, 1500, 4
2, acs, 3, 2.25, 4.36, 0.94, 7, 9, 0.34, 1, 200, 1500, 4
4, acs, 3, 2.51, 2.74, 0.98, 11, 22, 0.56, 1, 200, 1500, 4
10, acs, 3, 2.44, 1.46, 0.96, 15, 16, 0.44, 1, 200, 1500, 4
10, acs, 3, 2.47, 4.52, 0.57, 16, 16, 0.17, 1, 200, 1500, 4
2, acs, 3, 2.62, 3.29, 0.95, 12, 13, 0.26, 1, 200, 1500, 4
7, acs, 3, 2.55, 4.24, 0.87, 5, 14, 0.36, 1, 200, 1500, 4
10, eas, 3, 2.39, 4.09, 0.73, 39, 10, 2, 1, 200, 289, 4
10, acs, 3, 2.96, 2.94, 0.99, 25, 16, 0.59, 1, 200, 1500, 4
9, acs, 3, 1.82, 5.73, 0.92, 36, 12, 0.29, 1, 200, 1500, 4
4, acs, 3, 2.99, 3.51, 0.99, 6, 23, 0.26, 1, 200, 1500, 4
6, acs, 2, 2.05, 4.83, 0.56, 18, 12, 0.16, 1, 200, 1500, 4
6, acs, 0, 2.5, 6.06, 0.69, 23, 100, 0.05, __miss__, 200, 1500, 4
7, acs, 3, 2.55, 1.82, 0.95, 14, 19, 0.78, 1, 200, 1500, 4
8, acs, 3, 2.6, 2.75, 0.93, 22, 18, 0.56, 1, 200, 1500, 4
2, acs, 3, 2.36, 7.49, 0.94, 19, 15, 0.16, 1, 200, 1500, 4
2, acs, 3, 2.05, 4.25, 0.72, 8, 10, 0.07, 1, 200, 1500, 4
5, acs, 3, 2.25, 5.03, 0.72, 19, 15, 0.19, 1, 200, 1500, 4
7, acs, 3, 2.12, 6.97, 0.86, 18, 14, 0.19, 1, 200, 1500, 4
5, acs, 3, 1.99, 4.44, 0.96, 8, 8, 0.57, 1, 200, 1500, 4
6, acs, 3, 3.49, 1.49, 0.99, 17, 19, 0.44, 1, 200, 1500, 4
2, acs, 3, 2.35, 5.11, 0.73, 10, 9, 0.09, 1, 200, 1500, 4
1, acs, 3, 1.74, 4.37, 0.7, 7, 18, 0.16, 1, 200, 1500, 4
4, acs, 3, 2.71, 5.5, 0.76, 24, 15, 0.16, 1, 200, 1500, 4
3, acs, 3, 1.81, 4.66, 0.63, 30, 14, 0.14, 1, 200, 1500, 4
9, acs, 3, 1.52, 2.21, 0.88, 11, 17, 0.63, 1, 200, 1500, 4
5, acs, 3, 2.12, 6.48, 0.54, 12, 10, 0.11, 1, 200, 1500, 4
1, ras, 3, 2.43, 1.31, 0.91, 8, 22, 2, 1, 25, 1500, 4
2, acs, 3, 2.69, 5.02, 0.98, 18, 10, 0.32, 1, 200, 1500, 4
3, acs, 3, 2.39, 5.68, 0.66, 7, 14, 0.06, 1, 200, 1500, 4
9, ras, 3, 3, 3.22, 0.53, 23, 15, 2, 1, 37, 1500, 4
10, ras, 3, 2.48, 6.08, 0.74, 24, 16, 2, 1, 47, 1500, 4
8, acs, 3, 2.59, 4.55, 0.71, 30, 11, 0.07, 1, 200, 1500, 4
7, acs, 3, 2.41, 4.58, 0.64, 19, 12, 0.18, 1, 200, 1500, 4
10, acs, 2, 2.25, 3.13, 0.95, 7, 10, 0.4, 1, 200, 1500, 4
9, acs, 3, 2.16, 3.35, 0.72, 14, 17, 0.16, 1, 200, 1500, 4
8, acs, 3, 2.58, 7.76, 0.94, 34, 9, 0.31, 1, 200, 1500, 4
10, acs, 3, 2.72, 2.65, 0.92, 18, 20, 0.59, 1, 200, 1500, 4
3, acs, 3, 2.9, 7.29, 0.93, 19, 10, 0.28, 1, 200, 1500, 4
3, acs, 3, 2.52, 2.95, 0.91, 8, 22, 0.56, 1, 200, 1500, 4
8, acs, 3, 2.48, 6.48, 0.67, 22, 15, 0.12, 1, 200, 1500, 4
8, acs, 3, 2.66, 2.98, 0.81, 17, 22, 0.55, 1, 200, 1500, 4
6, acs, 3, 3.21, 2.73, 0.84, 7, 8, 0.28, 1, 200, 1500, 4
5, acs, 3, 2.98, 2.76, 0.86, 18, 20, 0.45, 1, 200, 1500, 4
1, acs, 3, 2.46, 6.19, 0.74, 10, 15, 0.11, 1, 200, 1500, 4
5, acs, 3, 2.69, 7.5, 0.99, 15, 16, 0.24, 1, 200, 1500, 4
10, acs, 3, 2.34, 7.76, 0.95, 30, 9, 0.06, 1, 200, 1500, 4
8, ras, 3, 2.04, 5.27, 0.41, 15, 14, 2, 1, 62, 1500, 4
10, acs, 3, 2.13, 7.5, 0.62, 17, 14, 0.28, 1, 200, 1500, 4
3, acs, 3, 3.14, 4.25, 0.89, 5, 14, 0.15, 1, 200, 1500, 4
5, acs, 3, 2.8, 4.34, 0.89, 20, 8, 0.1, 1, 200, 1500, 4
2, acs, 3, 2.77, 3.51, 0.86, 9, 13, 0.39, 1, 200, 1500, 4
2, acs, 3, 2.09, 3.79, 0.66, 13, 8, 0.13, 1, 200, 1500, 4
4, acs, 3, 1.78, 5.73, 0.67, 11, 13, 0.17, 1, 200, 1500, 4
2, acs, 3, 2.14, 3.26, 0.99, 7, 20, 0.43, 1, 200, 1500, 4
1, acs, 3, 2.1, 5.99, 0.73, 9, 10, 0.03, 1, 200, 1500, 4
6, acs, 3, 2.21, 2.89, 0.85, 6, 22, 0.48, 1, 200, 1500, 4
6, acs, 3, 2.67, 5.08, 0.94, 16, 13, 0.22, 1, 200, 1500, 4
9, acs, 3, 3.28, 8.31, 0.96, 12, 9, 0.34, 1, 200, 1500, 4
8, acs, 3, 2.31, 3.22, 0.7, 24, 15, 0.17, 1, 200, 1500, 4
4, acs, 3, 1.49, 5.2, 0.73, 11, 16, 0.14, 1, 200, 1500, 4
3, acs, 3, 2.39, 4.32, 0.69, 30, 16, 0.09, 1, 200, 1500, 4
8, acs, 3, 2.81, 2.77, 0.94, 8, 20, 0.48, 1, 200, 1500, 4
1, acs, 3, 2.07, 6.96, 0.61, 21, 16, 0.12, 1, 200, 1500, 4
4, acs, 2, 2.3, 3.66, 0.95, 11, 15, 0.3, 1, 200, 1500, 4
7, acs, 3, 2.08, 6.36, 0.66, 19, 10, 0.15, 1, 200, 1500, 4
7, acs, 3, 1.99, 1.85, 0.73, 11, 18, 0.68, 1, 200, 1500, 4
10, acs, 3, 2.91, 3.32, 1, 7, 19, 0.66, 1, 200, 1500, 4
9, acs, 3, 2.15, 5.76, 0.51, 20, 14, 0.12, 1, 200, 1500, 4
9, mmas, 3, 1.96, 2.47, 0.88, 18, 18, 2, 1, 200, 1500, 4
5, acs, 3, 1.92, 6.33, 0.65, 15, 15, 0.17, 1, 200, 1500, 4
4, acs, 3, 1.69, 5.78, 0.85, 16, 15, 0.23, 1, 200, 1500, 4
5, acs, 3, 2.5, 5.88, 0.73, 30, 13, 0.19, 1, 200, 1500, 4
4, acs, 3, 2.56, 2.37, 0.94, 10, 7, 0.34, 1, 200, 1500, 4
8, acs, 3, 2.55, 7.03, 0.99, 21, 13, 0.19, 1, 200, 1500, 4
10, acs, 3, 2.15, 3.55, 0.78, 21, 18, 0.11, 1, 200, 1500, 4
2, acs, 3, 2.39, 3.7, 0.84, 10, 14, 0.34, 1, 200, 1500, 4
8, acs, 3, 2.64, 3.84, 0.45, 31, 13, 0.22, 1, 200, 1500, 4
2, acs, 3, 2.14, 4.8, 0.62, 11, 14, 0.24, 1, 200, 1500, 4
2, acs, 3, 1.45, 5.9, 0.69, 15, 11, 0.09, 1, 200, 1500, 4
2, ras, 3, 2.38, 4.56, 0.93, 8, 9, 2, 1, 6, 1500, 4
2, acs, 3, 2.03, 7.3, 0.57, 28, 16, 0.1, 1, 200, 1500, 4
10, acs, 3, 3.09, 5.17, 0.65, 16, 14, 0.05, 1, 200, 1500, 4
7, acs, 3, 1.31, 6.62, 0.57, 30, 11, 0.09, 0, 200, 1500, 4
7, acs, 3, 2.13, 6.23, 0.58, 14, 12, 0.13, 1, 200, 1500, 4
9, acs, 3, 2.5, 1.65, 0.87, 16, 15, 0.45, 1, 200, 1500, 4
1, acs, 3, 2.28, 5.63, 0.9, 9, 7, 0.42, 1, 200, 1500, 4
9, acs, 3, 2.18, 7.33, 0.95, 26, 13, 0.2, 1, 200, 1500, 4
2, acs, 3, 2.02, 6.2, 0.63, 17, 13, 0.16, 1, 200, 1500, 4
5, acs, 3, 2.87, 3.32, 0.75, 29, 17, 0.18, 1, 200, 1500, 4
7, acs, 3, 2.29, 5.74, 0.66, 20, 11, 0.23, 1, 200, 1500, 4
9, acs, 3, 2.32, 3.79, 0.9, 12, 13, 0.32, 1, 200, 1500, 4
4, acs, 3, 2.27, 4.56, 1, 11, 11, 0.15, 1, 200, 1500, 4
3, acs, 3, 2.86, 3.05, 0.91, 12, 18, 0.27, 1, 200, 1500, 4
10, acs, 3, 1.79, 5.74, 0.65, 28, 20, 0.18, 1, 200, 1500, 4
6, mmas, 3, 1.93, 2.54, 0.7, 25, 16, 2, 1, 200, 1500, 4
6, acs, 3, 3.07, 2.48, 0.87, 7, 24, 0.55, 1, 200, 1500, 4
3, acs, 3, 2.49, 2.91, 0.95, 13, 21, 0.51, 1, 200, 1500, 4
6, acs, 3, 2.09, 2.88, 0.71, 15, 17, 0.05, 1, 200, 1500, 4
3, acs, 3, 2.16, 5.61, 0.64, 10, 12, 0.21, 1, 200, 1500, 4
2, acs, 3, 1.83, 4.39, 0.59, 12, 13, 0.16, 1, 200, 1500, 4
3, acs, 3, 3.1, 4, 0.89, 23, 8, 0.37, 1, 200, 1500, 4
8, acs, 3, 3.02, 8.56, 0.86, 38, 15, 0.21, 1, 200, 1500, 4
5, acs, 3, 3.23, 0.83, 0.9, 15, 23, 0.48, 1, 200, 1500, 4
7, acs, 3, 2.41, 5.94, 0.75, 7, 14, 0.19, 1, 200, 1500, 4
10, acs, 0, 2.12, 3.1, 0.93, 14, 100, 0.55, __miss__, 200, 1500, 4
1, acs, 3, 0.96, 5.34, 0.7, 20, 15, 0.23, 1, 200, 1500, 4
9, acs, 3, 3.18, 3.48, 0.98, 12, 13, 0.24, 1, 200, 1500, 4
10, acs, 3, 3.1, 1.72, 0.96, 12, 20, 0.39, 1, 200, 1500, 4
1, acs, 3, 2.41, 5.56, 0.68, 19, 18, 0.11, 1, 200, 1500, 4
1, acs, 3, 3.61, 4.63, 0.91, 9, 17, 0.4, 1, 200, 1500, 4
7, acs, 3, 2.67, 4.91, 0.91, 8, 5, 0.32, 1, 200, 1500, 4
10, acs, 3, 1.57, 4.7, 0.58, 30, 11, 0.08, 1, 200, 1500, 4
4, acs, 3, 2.01, 5.45, 0.71, 28, 13, 0.07, 1, 200, 1500, 4
10, acs, 3, 2.64, 6.24, 0.58, 15, 17, 0.19, 1, 200, 1500, 4
2, eas, 3, 2.68, 6.72, 0.87, 21, 18, 2, 1, 200, 636, 4
4, acs, 3, 2.15, 5.69, 0.99, 27, 9, 0.13, 1, 200, 1500, 4
4, acs, 3, 2.49, 3.17, 0.98, 9, 9, 0.4, 1, 200, 1500, 4
4, acs, 3, 2.74, 1.14, 0.99, 5, 21, 0.52, 1, 200, 1500, 4
7, acs, 3, 3.37, 5.17, 0.93, 14, 7, 0.16, 0, 200, 1500, 4
1, acs, 3, 2.84, 4.26, 0.91, 8, 9, 0.34, 1, 200, 1500, 4
9, acs, 3, 2.4, 3.59, 0.81, 19, 10, 0.02, 1, 200, 1500, 4
3, acs, 3, 3.38, 7.77, 0.96, 23, 12, 0.24, 1, 200, 1500, 4
4, acs, 3, 2.58, 3.26, 0.91, 15, 26, 0.5, 1, 200, 1500, 4
8, acs, 3, 1.93, 3.25, 0.7, 6, 13, 0.06, 1, 200, 1500, 4
8, acs, 3, 2.25, 1.57, 0.88, 13, 20, 0.67, 1, 200, 1500, 4
4, acs, 3, 1.88, 3.72, 0.92, 7, 18, 0.49, 1, 200, 1500, 4
2, acs, 3, 2.66, 4.43, 0.96, 7, 13, 0.23, 1, 200, 1500, 4
6, acs, 3, 2.03, 3.6, 0.72, 24, 15, 0.07, 1, 200, 1500, 4
2, acs, 3, 3.2, 4.76, 0.72, 34, 11, 0.23, 1, 200, 1500, 4
5, acs, 3, 2.65, 3.51, 1, 11, 6, 0.26, 1, 200, 1500, 4
8, acs, 3, 2.69, 4.88, 0.72, 27, 15, 0.06, 1, 200, 1500, 4
3, acs, 3, 3.31, 3.23, 0.93, 11, 13, 0.34, 1, 200, 1500, 4
7, acs, 3, 1.78, 5.56, 0.72, 11, 15, 0.12, 1, 200, 1500, 4
4, acs, 3, 1.95, 5.79, 0.53, 12, 12, 0.19, 1, 200, 1500, 4
3, acs, 3, 2.93, 5.24, 0.74, 26, 12, 0.07, 1, 200, 1500, 4
9, acs, 3, 2.73, 7.73, 0.99, 29, 15, 0.31, 1, 200, 1500, 4
4, acs, 3, 2.64, 7.94, 0.98, 25, 10, 0.29, 1, 200, 1500, 4
10, acs, 3, 2.72, 7.97, 0.98, 22, 10, 0.26, 1, 200, 1500, 4
9, acs, 3, 2.99, 3.9, 0.97, 11, 15, 0.4, 1, 200, 1500, 4
2, acs, 3, 2.82, 8.12, 0.96, 34, 15, 0.21, 1, 200, 1500, 4
8, acs, 3, 2.96, 4.42, 0.73, 25, 14, 0.08, 1, 200, 1500, 4
10, acs, 3, 2.91, 3.97, 0.7, 22, 6, 0.04, 1, 200, 1500, 4
2, acs, 3, 2.22, 7.23, 0.99, 21, 12, 0.18, 1, 200, 1500, 4
4, acs, 3, 2.41, 4.46, 0.76, 33, 12, 0.14, 1, 200, 1500, 4
2, acs, 3, 2.47, 7.52, 0.96, 29, 8, 0.37, 1, 200, 1500, 4
7, acs, 3, 2.07, 8.16, 0.98, 20, 7, 0.17, 1, 200, 1500, 4
3, acs, 3, 2.63, 7.82, 0.94, 19, 7, 0.15, 1, 200, 1500, 4
6, acs, 3, 2.53, 4.6, 0.92, 11, 15, 0.24, 1, 200, 1500, 4
5, acs, 3, 2.36, 4.85, 0.67, 20, 15, 0.13, 1, 200, 1500, 4
6, acs, 3, 2.59, 4.86, 0.98, 5, 13, 0.32, 1, 200, 1500, 4
6, acs, 3, 2.59, 3.72, 0.76, 37, 12, 0.09, 1, 200, 1500, 4
8, acs, 3, 3.14, 7.49, 0.94, 16, 9, 0.28, 1, 200, 1500, 4
8, acs, 3, 2.1, 7.36, 0.93, 32, 14, 0.16, 1, 200, 1500, 4
8, acs, 3, 3.03, 7.74, 0.96, 35, 11, 0.25, 1, 200, 1500, 4
7, acs, 3, 2.43, 8.43, 0.92, 27, 14, 0.17, 1, 200, 1500, 4
2, acs, 3, 2.81, 8.35, 0.85, 21, 12, 0.21, 1, 200, 1500, 4
9, acs, 3, 2.36, 7.12, 0.92, 22, 9, 0.24, 0, 200, 1500, 4
5, acs, 3, 2.22, 7.64, 0.92, 22, 5, 0.26, 1, 200, 1500, 4
3, acs, 3, 2.21, 7.92, 0.95, 20, 12, 0.19, 1, 200, 1500, 4
4, acs, 3, 3.42, 4.2, 0.99, 6, 9, 0.28, 1, 200, 1500, 4
8, acs, 3, 2.3, 5.55, 0.69, 15, 13, 0.01, 1, 200, 1500, 4
3, acs, 3, 3.2, 5.18, 0.67, 30, 11, 0.03, 1, 200, 1500, 4
3, acs, 3, 2.93, 4.65, 0.61, 20, 9, 0.06, 1, 200, 1500, 4
5, acs, 3, 2.4, 5, 0.68, 22, 11, 0.04, 1, 200, 1500, 4
2, acs, 3, 2.72, 7.54, 0.94, 30, 7, 0.2, 1, 200, 1500, 4
6, acs, 3, 2.26, 4.67, 0.71, 14, 15, 0.14, 1, 200, 1500, 4
6, acs, 3, 2.83, 5.86, 0.64, 21, 14, 0.04, 1, 200, 1500, 4
7, acs, 3, 2.28, 5.73, 0.57, 18, 11, 0.11, 1, 200, 1500, 4
4, acs, 3, 2.4, 5.05, 0.73, 30, 7, 0.11, 1, 200, 1500, 4
4, acs, 3, 1.97, 8.24, 0.95, 33, 13, 0.18, 1, 200, 1500, 4
6, acs, 3, 3.02, 8.13, 0.98, 22, 12, 0.2, 1, 200, 1500, 4
4, acs, 3, 2.36, 4.04, 0.81, 34, 6, 0.12, 1, 200, 1500, 4
2, acs, 3, 2.14, 8.56, 0.84, 36, 10, 0.24, 1, 200, 1500, 4
4, acs, 3, 2.56, 4.14, 0.88, 6, 11, 0.34, 1, 200, 1500, 4
10, acs, 3, 1.71, 8.19, 0.98, 25, 11, 0.13, 1, 200, 1500, 4
9, acs, 3, 2.11, 5.8, 0.73, 18, 10, 0.09, 1, 200, 1500, 4
10, acs, 3, 2, 8.47, 0.87, 34, 16, 0.09, 1, 200, 1500, 4
7, acs, 3, 2, 8.61, 0.94, 32, 15, 0.16, 1, 200, 1500, 4
7, acs, 3, 2.05, 8.93, 0.96, 32, 13, 0.18, 1, 200, 1500, 4
6, acs, 3, 2.42, 5.69, 0.55, 15, 13, 0.07, 1, 200, 1500, 4
1, acs, 3, 3.16, 8.47, 0.95, 24, 12, 0.21, 1, 200, 1500, 4
8, acs, 3, 2.05, 8.15, 0.94, 24, 13, 0.25, 1, 200, 1500, 4
3, acs, 3, 1.76, 8.21, 0.89, 28, 14, 0.15, 1, 200, 1500, 4
7, acs, 3, 2.01, 6.07, 0.62, 17, 15, 0.11, 1, 200, 1500, 4
6, acs, 3, 2.06, 5.71, 0.46, 19, 10, 0.12, 1, 200, 1500, 4
5, acs, 3, 2.55, 6.16, 0.59, 20, 11, 0.1, 1, 200, 1500, 4
5, acs, 3, 2.25, 5.38, 0.59, 11, 14, 0.11, 1, 200, 1500, 4
5, acs, 3, 1.94, 8.13, 0.92, 29, 12, 0.26, 1, 200, 1500, 4
8, acs, 3, 2.59, 3.16, 0.94, 11, 13, 0.3, 1, 200, 1500, 4
9, acs, 3, 2.45, 4.05, 0.97, 7, 11, 0.35, 1, 200, 1500, 4
3, acs, 3, 2.4, 8.21, 0.94, 35, 12, 0.24, 1, 200, 1500, 4
1, acs, 3, 2.38, 5.44, 0.63, 28, 10, 0.12, 1, 200, 1500, 4
2, acs, 3, 1.97, 8.09, 0.98, 33, 11, 0.18, 1, 200, 1500, 4
9, acs, 3, 1.48, 7.82, 0.93, 32, 11, 0.17, 1, 200, 1500, 4
5, acs, 3, 1.53, 8.1, 0.97, 25, 11, 0.08, 1, 200, 1500, 4
3, acs, 3, 2.29, 8.2, 0.88, 20, 12, 0.29, 1, 200, 1500, 4
9, acs, 3, 2.09, 9.03, 0.95, 32, 15, 0.15, 1, 200, 1500, 4
10, acs, 3, 1.75, 7.73, 0.95, 22, 11, 0.11, 1, 200, 1500, 4
10, ras, 0, 3.25, 1.13, 0.18, 16, 100, 2, __miss__, 72, 1500, 5
9, mmas, 3, 0.68, 0.27, 0.37, 36, 35, 2, 0, 200, 1500, 5
6, as, 2, 3.11, 0.22, 0.33, 26, 5, 2, 0, 200, 1500, 5
6, eas, 3, 4.19, 3.82, 0.91, 79, 32, 2, 0, 200, 483, 5
1, eas, 3, 3.59, 1.43, 0.63, 13, 8, 2, 1, 200, 692, 5
3, acs, 1, 1.03, 3.76, 0.14, 73, 21, 0.95, 1, 200, 1500, 5
2, mmas, 1, 2.76, 8.59, 0.93, 17, 20, 2, 1, 200, 1500, 5
2, eas, 1, 4.04, 7.25, 0.55, 39, 16, 2, 0, 200, 515, 5
7, acs, 2, 3.16, 1.63, 0.39, 69, 8, 0.51, 1, 200, 1500, 5
